,Transcript,Translation_Status,MiSeqSFPQc.csv,MiSeqNONOc.csv
431,uc003upt.3,Translated,0,1
432,uc001gdp.3,Translated,0,1
433,uc003jfx.4,Translated,0,2
434,uc002lni.2,Translated,0,1
435,uc001voa.4,Translated,0,1
436,uc001ygc.3,Translated,0,1
437,uc001aoh.3,Translated,0,1
438,uc003xuo.2,Translated,0,1
439,uc001voc.3,Translated,0,1
440,uc011een.2,Untranslated,0,1
441,uc011lek.2,Translated,0,1
442,uc002xve.4,Translated,0,1
443,uc031siz.1,Translated,0,2
444,uc011dju.2,Translated,0,1
445,uc001czv.3,Translated,0,1
446,uc003kfi.1,Translated,0,1
447,uc001agd.3,Translated,0,1
448,uc003vre.3,Translated,0,1
449,uc003kfh.1,Translated,0,1
450,uc031tgb.1,Untranslated,0,1
451,uc003xur.3,Translated,0,1
452,uc010swp.3,Translated,0,1
453,uc001oiv.3,Translated,0,1
454,uc010oqm.3,Translated,0,1
455,uc021umk.1,Translated,0,1
456,uc003jsr.3,Translated,0,1
457,uc009vkg.1,Translated,0,1
458,uc001byq.3,Untranslated,0,1
459,uc001dny.2,Translated,0,1
460,uc011bpk.1,Translated,0,2
461,uc010oqj.2,Translated,0,1
462,uc001cow.3,Translated,0,1
463,uc021pjv.1,Translated,0,1
464,uc010lmi.3,Untranslated,0,1
465,uc031rue.1,Translated,0,1
466,uc001byp.3,Untranslated,0,1
467,uc010tiw.2,Untranslated,0,1
468,uc010oqi.2,Translated,0,1
469,uc010oqk.3,Untranslated,0,1
470,uc031qqj.1,Translated,0,1
471,uc010tiv.2,Untranslated,0,1
472,uc002aph.3,Translated,0,1
473,uc003xum.3,Translated,0,1
474,uc004ebq.1,Untranslated,0,2
475,uc001tsj.3,Translated,0,1
476,uc021ofq.1,Translated,0,1
477,uc021rlx.1,Untranslated,0,1
478,uc002xvc.4,Translated,0,1
479,uc003upu.2,Translated,0,1
480,uc021rcx.2,Translated,0,1
481,uc002lsm.3,Translated,0,2
482,uc001czw.3,Translated,0,1
483,uc001lxc.3,Translated,0,1
484,uc011bpl.1,Translated,0,2
485,uc022but.1,Translated,0,1
486,uc022buu.1,Translated,0,1
487,uc003qob.3,Translated,0,1
488,uc001dnw.3,Translated,0,2
489,uc022amh.1,Translated,0,1
490,uc011mfi.2,Untranslated,0,1
491,uc001tsh.3,Translated,0,1
492,uc021rdb.2,Translated,0,1
493,uc002ywg.1,Untranslated,0,1
494,uc031rtz.1,Translated,0,1
495,uc001czy.3,Translated,0,1
496,uc002vee.4,Translated,0,2
497,uc010oql.3,Translated,0,1
498,uc010fus.3,Translated,0,1
499,uc001cov.3,Translated,0,1
500,uc001ddu.3,Translated,0,1
501,uc010oqn.3,Untranslated,0,1
502,uc031rua.1,Translated,0,1
503,uc031tas.1,Untranslated,0,1
504,uc003xun.3,Translated,0,1
505,uc001ygd.3,Translated,0,1
506,uc021rda.2,Translated,0,1
507,uc010ngx.2,Untranslated,0,1
508,uc003jfh.1,Translated,0,1
509,uc001vod.3,Translated,0,1
510,uc004ddn.3,Translated,0,1
511,uc001tsk.3,Untranslated,0,1
512,uc002xvf.3,Translated,0,1
513,uc003upv.2,Translated,0,1
514,uc011kgj.1,Translated,0,1
515,uc031ruc.1,Translated,0,1
516,uc001tsi.3,Translated,0,1
517,uc010yyz.2,Translated,0,1
518,uc021rcz.2,Translated,0,1
519,uc001ibl.3,Translated,0,2
520,uc021rcy.2,Translated,0,1
521,uc001ymi.1,Translated,0,1
522,uc004ddo.3,Translated,0,1
523,uc001tkv.2,Untranslated,0,1
524,uc003vtx.2,Translated,0,1
525,uc003vty.4,Translated,0,1
526,uc001lxb.3,Untranslated,0,1
527,uc003xuj.3,Translated,0,1
528,uc021zgt.1,Translated,0,1
529,uc002lsn.3,Translated,0,2
530,uc002xvb.4,Untranslated,0,1
531,uc031ruf.1,Translated,0,1
532,uc002ywh.1,Translated,0,1
533,uc010oos.2,Translated,0,1
534,uc002lnh.2,Translated,0,1
535,uc010ujj.1,Translated,0,1
536,uc003hiz.1,Translated,0,1
537,uc003vtw.3,Translated,0,1
538,uc010hwn.2,Translated,0,2
539,uc011bpj.1,Translated,0,2
540,uc010yzc.2,Untranslated,0,1
541,uc002tnc.3,Translated,0,1
542,uc003hix.3,Translated,0,1
543,uc001dnv.3,Translated,0,2
544,uc010fur.3,Translated,0,2
545,uc021rmv.1,Translated,0,1
546,uc010qxn.2,Translated,0,1
547,uc021sbn.1,Translated,0,1
548,uc002izo.3,Translated,0,1
549,uc001tsm.1,Translated,0,1
550,uc010drd.2,Translated,0,1
551,uc003vmi.3,Translated,0,1
552,uc001hnu.2,Translated,0,1
553,uc021ofr.1,Untranslated,0,1
554,uc021vnl.1,Translated,0,1
555,uc001ibk.3,Translated,0,2
556,uc010yza.2,Translated,0,1
557,uc001ygf.3,Translated,0,1
558,uc031rub.1,Untranslated,0,1
559,uc001aoi.3,Translated,0,1
560,uc003udl.1,Untranslated,0,1
561,uc001vob.4,Translated,0,1
562,uc002ywi.3,Translated,0,1
563,uc022alw.1,Translated,0,1
564,uc010lle.3,Translated,0,1
565,uc001dnx.3,Translated,0,2
566,uc002xva.4,Translated,0,1
567,uc010plb.2,Translated,0,1
568,uc031rud.1,Translated,0,1
